cell_id,region_slug,mean_exposure_score,building_count,claim_count,mean_amount_paid_building_only,mean_amount_paid_building_plus_contents
charleston-battery:328:-799,charleston-battery,0.119325,1000,5437,22665.503745905477,19869.14694316719
clearwater-beach:280:-828,clearwater-beach,0.12847280334728034,717,1440,77257.1103409992,79042.41971527778
fort-myers-beach:264:-819,fort-myers-beach,0.1943354430379747,158,2003,129974.6670872093,119214.27238142786
fort-myers-beach:265:-819,fort-myers-beach,0.19563829787234044,47,3234,85382.39451590106,82829.68973407545
fort-myers-beach:265:-820,fort-myers-beach,0.20337735849056604,795,2379,109751.06863657957,109999.0514543926
french-quarter-nola:300:-901,french-quarter-nola,0.0,1000,7931,64575.62496572845,67999.7274126844
galveston-seawall:293:-948,galveston-seawall,0.011295,1000,4149,52437.046960235646,53447.88729091347
ocean-city-md:383:-751,ocean-city-md,0.08524159663865546,476,669,14102.958994082841,12898.91485799701
ocean-city-md:384:-751,ocean-city-md,0.08470419847328244,524,1550,7348.867757201646,5048.1181290322575
outer-banks-nags-head:359:-756,outer-banks-nags-head,0.00936832740213523,562,2720,14010.478960476448,10291.174547794117
outer-banks-nags-head:360:-756,outer-banks-nags-head,0.00494279176201373,437,665,14919.239414758269,10129.672315789474
outer-banks-nags-head:360:-757,outer-banks-nags-head,0.0,1,2486,10425.51895794099,7676.060695897024
south-beach-miami:258:-801,south-beach-miami,0.007215,1000,715,29503.732677165357,18402.881608391606
